"palavra";"sentimento"
"abastardando";"neg"
"abastardar";"neg"
"abastardara";"neg"
"abastardaram";"neg"
"abastardaras";"neg"
"abastardardes";"neg"
"abastardarei";"neg"
"abastardareis";"neg"
"abastardarem";"neg"
"abastardaremos";"neg"
"abastardares";"neg"
"abastardaria";"neg"
"abastardariam";"neg"
"abastardarias";"neg"
"abastardarmos";"neg"
"abastardará";"neg"
"abastardarás";"neg"
"abastardarão";"neg"
"abastardaríamos";"neg"
"abastardaríeis";"neg"
"abastardas";"neg"
"abastardasse";"neg"
"abastardassem";"neg"
"abastardasses";"neg"
"abastardaste";"neg"
"abastardastes";"neg"
"abastardava";"neg"
"abastardavam";"neg"
"abastardavas";"neg"
"abastarde";"neg"
"abastardei";"neg"
"abastardeis";"neg"
"abastardem";"neg"
"abastardemos";"neg"
"abastardes";"neg"
"abastardo";"neg"
"abastardou";"neg"
"abastardáramos";"neg"
"abastardáreis";"neg"
"abastardásseis";"neg"
"abastardássemos";"neg"
"abastardávamos";"neg"
"abastardáveis";"neg"
"abata";"neg"
"abatais";"neg"
"abatam";"neg"
"abatamos";"neg"
"abatas";"neg"
"abate";"neg"
"abatei";"neg"
"abateis";"neg"
"abatem";"neg"
"abatemos";"neg"
"abatendo";"neg"
"abater";"neg"
"abatera";"neg"
"abateram";"neg"
"abateras";"neg"
"abaterdes";"neg"
"abaterei";"neg"
"abatereis";"neg"
"abaterem";"neg"
"abateremos";"neg"
"abateres";"neg"
"abateria";"neg"
"abateriam";"neg"
"abaterias";"neg"
"abatermos";"neg"
"abaterá";"neg"
"abaterás";"neg"
"abaterão";"neg"
"abateríamos";"neg"
"abateríeis";"neg"
"abates";"neg"
"abatesse";"neg"
"abatessem";"neg"
"abatesses";"neg"
"abateste";"neg"
"abatestes";"neg"
"abateu";"neg"
"abati";"neg"
"abatia";"neg"
"abatiam";"neg"
"abatias";"neg"
"abatida";"neg"
"abatidas";"neg"
"abatido";"neg"
"abatidos";"neg"
"abatimento";"neg"
"abato";"neg"
"abatêramos";"neg"
"abatêreis";"neg"
"abatêsseis";"neg"
"abatêssemos";"neg"
"abatíamos";"neg"
"abatíeis";"neg"
"aberta";"pos"
"abertas";"pos"
"aberto";"pos"
"abertos";"pos"
"abertura";"neg"
"abisma";"pos"
"abismada";"pos"
"abismadas";"pos"
"abismado";"pos"
"abismados";"pos"
"abismai";"pos"
"abismais";"pos"
"abismam";"pos"
"abismamos";"pos"
"abismando";"pos"
"abismar";"pos"
"abismara";"pos"
"abismaram";"pos"
"abismaras";"pos"
"abismardes";"pos"
"abismarei";"pos"
"abismareis";"pos"
"abismarem";"pos"
"abismaremos";"pos"
"abismares";"pos"
"abismaria";"pos"
"abismariam";"pos"
"abismarias";"pos"
"abismarmos";"pos"
"abismará";"pos"
"abismarás";"pos"
"abismarão";"pos"
"abismaríamos";"pos"
"abismaríeis";"pos"
"abismas";"pos"
"abismasse";"pos"
"abismassem";"pos"
"abismasses";"pos"
"abismaste";"pos"
"abismastes";"pos"
"abismava";"pos"
"abismavam";"pos"
"abismavas";"pos"
"abisme";"pos"
"abismei";"pos"
"abismeis";"pos"
"abismem";"pos"
"abismemos";"pos"
"abismes";"pos"
"abismo";"pos"
"abismou";"pos"
"abismáramos";"pos"
"abismáreis";"pos"
"abismásseis";"pos"
"abismássemos";"pos"
"abismávamos";"pos"
"abismáveis";"pos"
"abominavelmente";"neg"
"aborrece";"neg"
"aborrecei";"neg"
"aborreceis";"neg"
"aborrecem";"neg"
"aborrecemos";"neg"
"aborrecendo";"neg"
"aborrecendo-se";"neg"
"aborrecer";"neg"
"aborrecera";"neg"
"aborreceram";"neg"
"aborreceras";"neg"
"aborrecerdes";"neg"
"aborrecerei";"neg"
"aborrecereis";"neg"
"aborrecerem";"neg"
"aborreceremos";"neg"
"aborreceres";"neg"
"aborreceria";"neg"
"aborreceriam";"neg"
"aborrecerias";"neg"
"aborrecermos";"neg"
"aborrecerá";"neg"
"aborrecerás";"neg"
"aborrecerão";"neg"
"aborreceríamos";"neg"
"aborreceríeis";"neg"
"aborreces";"neg"
"aborrecesse";"neg"
"aborrecessem";"neg"
"aborrecesses";"neg"
"aborreceste";"neg"
"aborrecestes";"neg"
"aborreceu";"neg"
"aborreci";"neg"
"aborrecia";"neg"
"aborreciam";"neg"
"aborrecias";"neg"
"aborrecida";"neg"
"aborrecidas";"neg"
"aborrecido";"neg"
"aborrecido-se";"neg"
"aborrecidos";"neg"
"aborrecêramos";"neg"
"aborrecêreis";"neg"
"aborrecêsseis";"neg"
"aborrecêssemos";"neg"
"aborrecíamos";"neg"
"aborrecíeis";"neg"
"aborreça";"neg"
"aborreçais";"neg"
"aborreçam";"neg"
"aborreçamos";"neg"
"aborreças";"neg"
"aborreço";"neg"
"abra";"pos"
"abrace";"pos"
"abracei";"pos"
"abraceis";"pos"
"abracem";"pos"
"abracemos";"pos"
"abraces";"pos"
"abrais";"pos"
"abram";"pos"
"abramos";"pos"
"abras";"pos"
"abraça";"pos"
"abraçada";"pos"
"abraçadas";"pos"
"abraçado";"pos"
"abraçados";"pos"
"abraçai";"pos"
"abraçais";"pos"
"abraçam";"pos"
"abraçamos";"pos"
"abraçando";"pos"
"abraçar";"pos"
"abraçara";"pos"
"abraçaram";"pos"
"abraçaras";"pos"
"abraçardes";"pos"
"abraçarei";"pos"
"abraçareis";"pos"
"abraçarem";"pos"
"abraçaremos";"pos"
"abraçares";"pos"
"abraçaria";"pos"
"abraçariam";"pos"
"abraçarias";"pos"
"abraçarmos";"pos"
"abraçará";"pos"
"abraçarás";"pos"
"abraçarão";"pos"
"abraçaríamos";"pos"
"abraçaríeis";"pos"
"abraças";"pos"
"abraçasse";"pos"
"abraçassem";"pos"
"abraçasses";"pos"
"abraçaste";"pos"
"abraçastes";"pos"
"abraçava";"pos"
"abraçavam";"pos"
"abraçavas";"pos"
"abraço";"pos"
"abraços";"pos"
"abraçou";"pos"
"abraçáramos";"pos"
"abraçáreis";"pos"
"abraçásseis";"pos"
"abraçássemos";"pos"
"abraçávamos";"pos"
"abraçáveis";"pos"
"abre";"pos"
"abrem";"pos"
"abres";"pos"
"abri";"pos"
"abria";"pos"
"abriam";"pos"
"abrias";"pos"
"abriga";"pos"
"abrigada";"pos"
"abrigadas";"pos"
"abrigado";"pos"
"abrigados";"pos"
"abrigai";"pos"
"abrigais";"pos"
"abrigam";"pos"
"abrigamos";"pos"
"abrigando";"pos"
"abrigar";"pos"
"abrigara";"pos"
"abrigaram";"pos"
"abrigaras";"pos"
"abrigardes";"pos"
"abrigarei";"pos"
"abrigareis";"pos"
"abrigarem";"pos"
"abrigaremos";"pos"
"abrigares";"pos"
"abrigaria";"pos"
"abrigariam";"pos"
"abrigarias";"pos"
"abrigarmos";"pos"
"abrigará";"pos"
"abrigarás";"pos"
"abrigarão";"pos"
"abrigaríamos";"pos"
"abrigaríeis";"pos"
"abrigas";"pos"
"abrigasse";"pos"
"abrigassem";"pos"
"abrigasses";"pos"
"abrigaste";"pos"
"abrigastes";"pos"
"abrigava";"pos"
"abrigavam";"pos"
"abrigavas";"pos"
"abrigo";"pos"
"abrigou";"pos"
"abrigue";"pos"
"abriguei";"pos"
"abrigueis";"pos"
"abriguem";"pos"
"abriguemos";"pos"
"abrigues";"pos"
"abrigáramos";"pos"
"abrigáreis";"pos"
"abrigásseis";"pos"
"abrigássemos";"pos"
"abrigávamos";"pos"
"abrigáveis";"pos"
"abrimos";"pos"
"abrindo";"pos"
"abrir";"pos"
"abrira";"pos"
"abriram";"pos"
"abriras";"pos"
"abrirdes";"pos"
"abrirei";"pos"
"abrireis";"pos"
"abrirem";"pos"
"abriremos";"pos"
"abrires";"pos"
"abriria";"pos"
"abririam";"pos"
"abririas";"pos"
"abrirmos";"pos"
"abrirá";"pos"
"abrirás";"pos"
"abrirão";"pos"
"abriríamos";"pos"
"abriríeis";"pos"
"abris";"pos"
"abrisse";"pos"
"abrissem";"pos"
"abrisses";"pos"
"abriste";"pos"
"abristes";"pos"
"abriu";"pos"
"abro";"pos"
"abríamos";"pos"
"abríeis";"pos"
"abríramos";"pos"
"abríreis";"pos"
"abrísseis";"pos"
"abríssemos";"pos"
"absolta";"pos"
"absoltas";"pos"
"absolto";"pos"
"absoltos";"pos"
"absolva";"pos"
"absolvais";"pos"
"absolvam";"pos"
"absolvamos";"pos"
"absolvas";"pos"
"absolve";"pos"
"absolvei";"pos"
"absolveis";"pos"
"absolvem";"pos"
"absolvemos";"pos"
"absolvendo";"pos"
"absolver";"pos"
"absolvera";"pos"
"absolveram";"pos"
"absolveras";"pos"
"absolverdes";"pos"
"absolverei";"pos"
"absolvereis";"pos"
"absolverem";"pos"
"absolveremos";"pos"
"absolveres";"pos"
"absolveria";"pos"
"absolveriam";"pos"
"absolverias";"pos"
"absolvermos";"pos"
"absolverá";"pos"
"absolverás";"pos"
"absolverão";"pos"
"absolveríamos";"pos"
"absolveríeis";"pos"
"absolves";"pos"
"absolvesse";"pos"
"absolvessem";"pos"
"absolvesses";"pos"
"absolveste";"pos"
"absolvestes";"pos"
"absolveu";"pos"
"absolvi";"pos"
"absolvia";"pos"
"absolviam";"pos"
"absolvias";"pos"
"absolvida";"pos"
"absolvidas";"pos"
"absolvido";"pos"
"absolvidos";"pos"
"absolvição";"pos"
"absolvo";"pos"
"absolvêramos";"pos"
"absolvêreis";"pos"
"absolvêsseis";"pos"
"absolvêssemos";"pos"
"absolvíamos";"pos"
"absolvíeis";"pos"
"absurda";"neg"
"absurdas";"neg"
"absurdo";"neg"
"abundância";"pos"
"abusa";"neg"
"abusada";"neg"
"abusadas";"neg"
"abusado";"neg"
"abusados";"neg"
"abusai";"neg"
"abusais";"neg"
"abusam";"neg"
"abusamos";"neg"
"abusando";"neg"
"abusar";"neg"
"abusara";"neg"
"abusaram";"neg"
"abusaras";"neg"
"abusardes";"neg"
"abusarei";"neg"
"abusareis";"neg"
"abusarem";"neg"
"abusaremos";"neg"
"abusares";"neg"
"abusaria";"neg"
"abusariam";"neg"
"abusarias";"neg"
"abusarmos";"neg"
"abusará";"neg"
"abusarás";"neg"
"abusarão";"neg"
"abusaríamos";"neg"
"abusaríeis";"neg"
"abusas";"neg"
"abusasse";"neg"
"abusassem";"neg"
"abusasses";"neg"
"abusaste";"neg"
"abusastes";"neg"
"abusava";"neg"
"abusavam";"neg"
"abusavas";"neg"
"abuse";"neg"
"abusei";"neg"
"abuseis";"neg"
"abusem";"neg"
"abusemos";"neg"
"abuses";"neg"
"abuso";"neg"
"abusos";"neg"
"abusou";"neg"
"abusáramos";"neg"
"abusáreis";"neg"
"abusásseis";"neg"
"abusássemos";"neg"
"abusávamos";"neg"
"abusáveis";"neg"
"acabado-se";"neg"
"acabando-se";"neg"
"acalma";"pos"
"acalmada";"pos"
"acalmadas";"pos"
"acalmado";"pos"
"acalmado-se";"pos"
"acalmados";"pos"
"acalmai";"pos"
"acalmais";"pos"
"acalmam";"pos"
"acalmamos";"pos"
"acalmando";"pos"
"acalmando-se";"pos"
"acalmar";"pos"
"acalmara";"pos"
"acalmaram";"pos"
"acalmaras";"pos"
"acalmardes";"pos"
"acalmarei";"pos"
"acalmareis";"pos"
"acalmarem";"pos"
"acalmaremos";"pos"
"acalmares";"pos"
"acalmaria";"pos"
"acalmariam";"pos"
"acalmarias";"pos"
"acalmarmos";"pos"
"acalmará";"pos"
"acalmarás";"pos"
"acalmarão";"pos"
"acalmaríamos";"pos"
"acalmaríeis";"pos"
"acalmas";"pos"
"acalmasse";"pos"
"acalmassem";"pos"
"acalmasses";"pos"
"acalmaste";"pos"
"acalmastes";"pos"
"acalmava";"pos"
"acalmavam";"pos"
"acalmavas";"pos"
"acalme";"pos"
"acalmei";"pos"
"acalmeis";"pos"
"acalmem";"pos"
"acalmemos";"pos"
"acalmes";"pos"
"acalmo";"pos"
"acalmou";"pos"
"acalmáramos";"pos"
"acalmáreis";"pos"
"acalmásseis";"pos"
"acalmássemos";"pos"
"acalmávamos";"pos"
"acalmáveis";"pos"
"acanha";"neg"
"acanhada";"neg"
"acanhadas";"neg"
"acanhado";"neg"
"acanhados";"neg"
"acanhai";"neg"
"acanhais";"neg"
"acanham";"neg"
"acanhamento";"neg"
"acanhamos";"neg"
"acanhando";"neg"
"acanhar";"neg"
"acanhara";"neg"
"acanharam";"neg"
"acanharas";"neg"
"acanhardes";"neg"
"acanharei";"neg"
"acanhareis";"neg"
"acanharem";"neg"
"acanharemos";"neg"
"acanhares";"neg"
"acanharia";"neg"
"acanhariam";"neg"
"acanharias";"neg"
"acanharmos";"neg"
"acanhará";"neg"
"acanharás";"neg"
"acanharão";"neg"
"acanharíamos";"neg"
"acanharíeis";"neg"
"acanhas";"neg"
"acanhasse";"neg"
"acanhassem";"neg"
"acanhasses";"neg"
"acanhaste";"neg"
"acanhastes";"neg"
"acanhava";"neg"
"acanhavam";"neg"
"acanhavas";"neg"
"acanhe";"neg"
"acanhei";"neg"
"acanheis";"neg"
"acanhem";"neg"
"acanhemos";"neg"
"acanhes";"neg"
"acanho";"neg"
"acanhou";"neg"
"acanháramos";"neg"
"acanháreis";"neg"
"acanhásseis";"neg"
"acanhássemos";"neg"
"acanhávamos";"neg"
"acanháveis";"neg"
"acaricia";"pos"
"acariciada";"pos"
"acariciadas";"pos"
"acariciado";"pos"
"acariciados";"pos"
"acariciai";"pos"
"acariciais";"pos"
"acariciam";"pos"
"acariciamos";"pos"
"acariciando";"pos"
"acariciar";"pos"
"acariciara";"pos"
"acariciaram";"pos"
"acariciaras";"pos"
"acariciardes";"pos"
"acariciarei";"pos"
"acariciareis";"pos"
"acariciarem";"pos"
"acariciaremos";"pos"
"acariciares";"pos"
"acariciaria";"pos"
"acariciariam";"pos"
"acariciarias";"pos"
"acariciarmos";"pos"
"acariciará";"pos"
"acariciarás";"pos"
"acariciarão";"pos"
"acariciaríamos";"pos"
"acariciaríeis";"pos"
"acaricias";"pos"
"acariciasse";"pos"
"acariciassem";"pos"
"acariciasses";"pos"
"acariciaste";"pos"
"acariciastes";"pos"
"acariciava";"pos"
"acariciavam";"pos"
"acariciavas";"pos"
"acaricie";"pos"
"acariciei";"pos"
"acaricieis";"pos"
"acariciem";"pos"
"acariciemos";"pos"
"acaricies";"pos"
"acaricio";"pos"
"acariciou";"pos"
"acariciáramos";"pos"
"acariciáreis";"pos"
"acariciásseis";"pos"
"acariciássemos";"pos"
"acariciávamos";"pos"
"acariciáveis";"pos"
"acaso";"pos"
"acatamento";"pos"
"aceita";"pos"
"aceitada";"pos"
"aceitadas";"pos"
"aceitado";"pos"
"aceitados";"pos"
"aceitai";"pos"
"aceitais";"pos"
"aceitam";"pos"
"aceitamos";"pos"
"aceitando";"pos"
"aceitar";"pos"
"aceitara";"pos"
"aceitaram";"pos"
"aceitaras";"pos"
"aceitardes";"pos"
"aceitarei";"pos"
"aceitareis";"pos"
"aceitarem";"pos"
"aceitaremos";"pos"
"aceitares";"pos"
"aceitaria";"pos"
"aceitariam";"pos"
"aceitarias";"pos"
"aceitarmos";"pos"
"aceitará";"pos"
"aceitarás";"pos"
"aceitarão";"pos"
"aceitaríamos";"pos"
"aceitaríeis";"pos"
"aceitas";"pos"
"aceitasse";"pos"
"aceitassem";"pos"
"aceitasses";"pos"
"aceitaste";"pos"
"aceitastes";"pos"
"aceitava";"pos"
"aceitavam";"pos"
"aceitavas";"pos"
"aceitação";"pos"
"aceite";"pos"
"aceitei";"pos"
"aceiteis";"pos"
"aceitem";"pos"
"aceitemos";"pos"
"aceites";"pos"
"aceito";"pos"
"aceitou";"pos"
"aceitáramos";"pos"
"aceitáreis";"pos"
"aceitásseis";"pos"
"aceitássemos";"pos"
"aceitávamos";"pos"
"aceitáveis";"pos"
"acidentais";"pos"
"acidental";"pos"
"acidentalmente";"pos"
"aclamação";"pos"
"acolha";"pos"
"acolhais";"pos"
"acolham";"pos"
"acolhamos";"pos"
"acolhas";"pos"
"acolhe";"pos"
"acolhei";"pos"
"acolheis";"pos"
"acolhem";"pos"
"acolhemos";"pos"
"acolhendo";"pos"
"acolher";"pos"
"acolhera";"pos"
"acolheram";"pos"
"acolheras";"pos"
"acolherdes";"pos"
"acolherei";"pos"
"acolhereis";"pos"
"acolherem";"pos"
"acolheremos";"pos"
"acolheres";"pos"
"acolheria";"pos"
"acolheriam";"pos"
"acolherias";"pos"
"acolhermos";"pos"
"acolherá";"pos"
"acolherás";"pos"
"acolherão";"pos"
"acolheríamos";"pos"
"acolheríeis";"pos"
"acolhes";"pos"
"acolhesse";"pos"
"acolhessem";"pos"
"acolhesses";"pos"
"acolheste";"pos"
"acolhestes";"pos"
"acolheu";"pos"
"acolhi";"pos"
"acolhia";"pos"
"acolhiam";"pos"
"acolhias";"pos"
"acolhida";"pos"
"acolhidas";"pos"
"acolhido";"pos"
"acolhidos";"pos"
"acolhimento";"pos"
"acolho";"pos"
"acolhêramos";"pos"
"acolhêreis";"pos"
"acolhêsseis";"pos"
"acolhêssemos";"pos"
"acolhíamos";"pos"
"acolhíeis";"pos"
"acontecendo";"pos"
"acredita";"pos"
"acreditada";"pos"
"acreditadas";"pos"
"acreditado";"pos"
"acreditados";"pos"
"acreditai";"pos"
"acreditais";"pos"
"acreditam";"pos"
"acreditamos";"pos"
"acreditando";"pos"
"acreditar";"pos"
"acreditara";"pos"
"acreditaram";"pos"
"acreditaras";"pos"
"acreditardes";"pos"
"acreditarei";"pos"
"acreditareis";"pos"
"acreditarem";"pos"
"acreditaremos";"pos"
"acreditares";"pos"
"acreditaria";"pos"
"acreditariam";"pos"
"acreditarias";"pos"
"acreditarmos";"pos"
"acreditará";"pos"
"acreditarás";"pos"
"acreditarão";"pos"
"acreditaríamos";"pos"
"acreditaríeis";"pos"
"acreditas";"pos"
"acreditasse";"pos"
"acreditassem";"pos"
"acreditasses";"pos"
"acreditaste";"pos"
"acreditastes";"pos"
"acreditava";"pos"
"acreditavam";"pos"
"acreditavas";"pos"
"acredite";"pos"
"acreditei";"pos"
"acrediteis";"pos"
"acreditem";"pos"
"acreditemos";"pos"
"acredites";"pos"
"acredito";"pos"
"acreditou";"pos"
"acreditáramos";"pos"
"acreditáreis";"pos"
"acreditásseis";"pos"
"acreditássemos";"pos"
"acreditávamos";"pos"
"acreditáveis";"pos"
"acusa";"neg"
"acusada";"neg"
"acusadas";"neg"
"acusado";"neg"
"acusados";"neg"
"acusai";"neg"
"acusais";"neg"
"acusam";"neg"
"acusamos";"neg"
"acusando";"neg"
"acusar";"neg"
"acusara";"neg"
"acusaram";"neg"
"acusaras";"neg"
"acusardes";"neg"
"acusarei";"neg"
"acusareis";"neg"
"acusarem";"neg"
"acusaremos";"neg"
"acusares";"neg"
"acusaria";"neg"
"acusariam";"neg"
"acusarias";"neg"
"acusarmos";"neg"
"acusará";"neg"
"acusarás";"neg"
"acusarão";"neg"
"acusaríamos";"neg"
"acusaríeis";"neg"
"acusas";"neg"
"acusasse";"neg"
"acusassem";"neg"
"acusasses";"neg"
"acusaste";"neg"
"acusastes";"neg"
"acusava";"neg"
"acusavam";"neg"
"acusavas";"neg"
"acuse";"neg"
"acusei";"neg"
"acuseis";"neg"
"acusem";"neg"
"acusemos";"neg"
"acuses";"neg"
"acuso";"neg"
"acusou";"neg"
"acusáramos";"neg"
"acusáreis";"neg"
"acusásseis";"neg"
"acusássemos";"neg"
"acusávamos";"neg"
"acusáveis";"neg"
"adequada";"pos"
"adequadas";"pos"
"admiravelmente";"pos"
"admiração";"pos"
"admita";"pos"
"admitais";"pos"
"admitam";"pos"
"admitamos";"pos"
"admitas";"pos"
"admite";"pos"
"admitem";"pos"
"admites";"pos"
"admiti";"pos"
"admitia";"pos"
"admitiam";"pos"
"admitias";"pos"
"admitida";"pos"
"admitidas";"pos"
"admitido";"pos"
"admitidos";"pos"
"admitimos";"pos"
"admitindo";"pos"
"admitir";"pos"
"admitira";"pos"
"admitiram";"pos"
"admitiras";"pos"
"admitirdes";"pos"
"admitirei";"pos"
"admitireis";"pos"
"admitirem";"pos"
"admitiremos";"pos"
"admitires";"pos"
"admitiria";"pos"
"admitiriam";"pos"
"admitirias";"pos"
"admitirmos";"pos"
"admitirá";"pos"
"admitirás";"pos"
"admitirão";"pos"
"admitiríamos";"pos"
"admitiríeis";"pos"
"admitis";"pos"
"admitisse";"pos"
"admitissem";"pos"
"admitisses";"pos"
"admitiste";"pos"
"admitistes";"pos"
"admitiu";"pos"
"admito";"pos"
"admitíamos";"pos"
"admitíeis";"pos"
"admitíramos";"pos"
"admitíreis";"pos"
"admitísseis";"pos"
"admitíssemos";"pos"
"adora";"pos"
"adorada";"pos"
"adoradas";"pos"
"adorado";"pos"
"adorados";"pos"
"adorai";"pos"
"adorais";"pos"
"adoram";"pos"
"adoramos";"pos"
"adorando";"pos"
"adorar";"pos"
"adorara";"pos"
"adoraram";"pos"
"adoraras";"pos"
"adorardes";"pos"
"adorarei";"pos"
"adorareis";"pos"
"adorarem";"pos"
"adoraremos";"pos"
"adorares";"pos"
"adoraria";"pos"
"adorariam";"pos"
"adorarias";"pos"
"adorarmos";"pos"
"adorará";"pos"
"adorarás";"pos"
"adorarão";"pos"
"adoraríamos";"pos"
"adoraríeis";"pos"
"adoras";"pos"
"adorasse";"pos"
"adorassem";"pos"
"adorasses";"pos"
"adoraste";"pos"
"adorastes";"pos"
"adorava";"pos"
"adoravam";"pos"
"adoravas";"pos"
"adoravelmente";"pos"
"adoração";"pos"
"adore";"pos"
"adorei";"pos"
"adoreis";"pos"
"adorem";"pos"
"adoremos";"pos"
"adores";"pos"
"adoro";"pos"
"adorou";"pos"
"adoráramos";"pos"
"adoráreis";"pos"
"adorásseis";"pos"
"adorássemos";"pos"
"adorávamos";"pos"
"adoráveis";"pos"
"adula";"pos"
"adulada";"pos"
"aduladas";"pos"
"adulado";"pos"
"adulados";"pos"
"adulai";"pos"
"adulais";"pos"
"adulam";"pos"
"adulamos";"pos"
"adulando";"pos"
"adular";"pos"
"adulara";"pos"
"adularam";"pos"
"adularas";"pos"
"adulardes";"pos"
"adularei";"pos"
"adulareis";"pos"
"adularem";"pos"
"adularemos";"pos"
"adulares";"pos"
"adularia";"pos"
"adulariam";"pos"
"adularias";"pos"
"adularmos";"pos"
"adulará";"pos"
"adularás";"pos"
"adularão";"pos"
"adularíamos";"pos"
"adularíeis";"pos"
"adulas";"pos"
"adulasse";"pos"
"adulassem";"pos"
"adulasses";"pos"
"adulaste";"pos"
"adulastes";"pos"
"adulava";"pos"
"adulavam";"pos"
"adulavas";"pos"
"adulação";"pos"
"adule";"pos"
"adulei";"pos"
"aduleis";"pos"
"adulem";"pos"
"adulemos";"pos"
"adules";"pos"
"adulo";"pos"
"adulou";"pos"
"aduláramos";"pos"
"aduláreis";"pos"
"adulásseis";"pos"
"adulássemos";"pos"
"adulávamos";"pos"
"aduláveis";"pos"
"adversa";"neg"
"adversamente";"neg"
"adversas";"neg"
"adversidade";"neg"
"adversária";"neg"
"adversárias";"neg"
"adversário";"neg"
"adversários";"neg"
"advoga";"pos"
"advogada";"pos"
"advogadas";"pos"
"advogado";"pos"
"advogados";"pos"
"advogai";"pos"
"advogais";"pos"
"advogam";"pos"
"advogamos";"pos"
"advogando";"pos"
"advogar";"pos"
"advogara";"pos"
"advogaram";"pos"
"advogaras";"pos"
"advogardes";"pos"
"advogarei";"pos"
"advogareis";"pos"
"advogarem";"pos"
"advogaremos";"pos"
"advogares";"pos"
"advogaria";"pos"
"advogariam";"pos"
"advogarias";"pos"
"advogarmos";"pos"
"advogará";"pos"
"advogarás";"pos"
"advogarão";"pos"
"advogaríamos";"pos"
"advogaríeis";"pos"
"advogas";"pos"
"advogasse";"pos"
"advogassem";"pos"
"advogasses";"pos"
"advogaste";"pos"
"advogastes";"pos"
"advogava";"pos"
"advogavam";"pos"
"advogavas";"pos"
"advogo";"pos"
"advogou";"pos"
"advogue";"pos"
"advoguei";"pos"
"advogueis";"pos"
"advoguem";"pos"
"advoguemos";"pos"
"advogues";"pos"
"advogáramos";"pos"
"advogáreis";"pos"
"advogásseis";"pos"
