"partido";"userid";"username";"location";"texto";"coordinates";"formatted_address";"lat";"lng";"lat_lng"
"ptbrasil";"443923846";"Marcos Adriano";"Trocadero";"deveria aplaudir, porque mostra que alguém está colocando o país nos trilhos via br";"";"1003 Arch St, Philadelphia, PA 19107, USA";39.953835;-75.15645339999999;"39.953835,-75.15645339999999"
"ptbrasil";"857949954580598785";"Ana Carolina";"Rio de Janeiro, Brasil";"";"";"Rio de Janeiro, State of Rio de Janeiro, Brazil";-22.9068467;-43.1728965;"-22.9068467,-43.1728965"
"ptbrasil";"1204770378";"Darlucia  Sá";"São Luís, Brasil";"meu coração acelera na contagem regressiva de lula no maranhão";"";"São Luís - Vila Maranhão, São Luís - State of Maranhão, Brazil";-2.5391099;-44.28290459999999;"-2.5391099,-44.28290459999999"
"ptbrasil";"3127155047";"Alαnα Gonçalves";"Brasil";"defendendo a odebrecht, oas, jbs";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"873617447374475264";"Augusto Santorini";"Brasil";"renan, sarney, collor,etc neste caso eu concordo em menciona a elite";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"64615462";"MARLON ROSEGHINI";"BRASILE";"ahahahahahahahahhahaha que mentira desse partido lixo";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"38942132";"Ever";"Curitiba - Brazil";"é a milícia";"";"Curitiba - State of Paraná, Brazil";-25.4244287;-49.2653819;"-25.4244287,-49.2653819"
"ptbrasil";"4452387711";"Positive ✌ibes";"The World";"defendendo vocês";"";"The World Building, 8121 Georgia Ave, Silver Spring, MD 20910, USA";38.9910958;-77.0260856;"38.9910958,-77.0260856"
"ptbrasil";"397609596";"Danusio Barbosa de O";"Pauliata-pe";"como se vocês roubaram foi tudo";"";"Paulista - State of Pernambuco, Brazil";-7.918190200000001;-34.8207597;"-7.918190200000001,-34.8207597"
"ptbrasil";"885246237657755650";"Vit";"Belo Horizonte, Brasil";"";"";"Belo Horizonte - State of Minas Gerais, Brazil";-19.9245018;-43.93523760000001;"-19.9245018,-43.93523760000001"
"ptbrasil";"700794994194411520";"Eduardo Tanabe";"Kakegawa-shi, Shizuoka";"quando fico triste eu leio os twittes do lulinha paz e amor, é tanta piada e sarcasmo que sempre me divirto";"";"Kakegawa, Shizuoka Prefecture, Japan";34.7687667;137.998168;"34.7687667,137.998168"
"ptbrasil";"136749443";"Moises Guedes Lima";"São Paulo";"deixe o homem trabalhar";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"ptbrasil";"2355344805";"Andre de A. Marcio";"Piracicaba ";"to vendo";"";"Piracicaba, State of São Paulo, Brazil";-22.7342864;-47.6480644;"-22.7342864,-47.6480644"
"ptbrasil";"44367973";"João Pedro";"Brasília, Distrito Federal";"o temer golpista quer oficializar a garimpagem na nossa amazônia";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"779058346506723329";"José Reis Oliveira";"Brasília, Brasil";"influentes na m m";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"848280262895161345";"Allison Miranda";"Lisboa, Portugal";"defenda o povo a partir de pedrinhas fica no nordeste";"";"Lisbon, Portugal";38.7222524;-9.1393366;"38.7222524,-9.1393366"
"ptbrasil";"883562518370803712";"Bruno Barros";"Belford Roxo, Brasil";"michel temer abigo";"";"Belford Roxo, Rio de Janeiro, Belford Roxo - State of Rio de Janeiro, Brazil";-22.7645391;-43.3996264;"-22.7645391,-43.3996264"
"ptbrasil";"828205829966983168";"Rosemary Apaixonada";"Brasília ";"é verdade esse é meu cuscuz de milho cearense";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"885246237657755650";"Vit";"Belo Horizonte, Brasil";"na verdade o povo vai no perfil dele só pra xingar ele mesmo kkkkkkk";"";"Belo Horizonte - State of Minas Gerais, Brazil";-19.9245018;-43.93523760000001;"-19.9245018,-43.93523760000001"
"ptbrasil";"3957125182";"DiegoGomes";"Brazil";"vai ser condenado em instância e não vai poder ser eleito chegar de ser enganado, acordar";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"145704132";"Fábio Renato Alves";"Marília/SP";"esta falando isso pra empreiteiras né poderia ter marcado a";"";"Marília - State of São Paulo, Brazil";-22.2175997;-49.9505101;"-22.2175997,-49.9505101"
"ptbrasil";"828205829966983168";"Rosemary Apaixonada";"Brasília ";"eu odeio esse mouro";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"777954707935461376";"Ladrão pelo Brasil";"Brasil";"o problema nao foi a chance q lula teve para roubar, foi a chance q deram a mãe dele para esse fdp nascer";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"883562518370803712";"Bruno Barros";"Belford Roxo, Brasil";"muito engraçado o twitter de vcs kkkk";"";"Belford Roxo, Rio de Janeiro, Belford Roxo - State of Rio de Janeiro, Brazil";-22.7645391;-43.3996264;"-22.7645391,-43.3996264"
"ptbrasil";"64805300";"maria camelo";"recife";"melhor mesmo não seja modesto";"";"Recife - State of Pernambuco, Brazil";-8.0475622;-34.8769643;"-8.0475622,-34.8769643"
"ptbrasil";"777954707935461376";"Ladrão pelo Brasil";"Brasil";"então pq vc não a desenvolveu como são paulo vc teve anos para isso e o pessoal continua pobre";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"4213083424";"mauro";"Brasil";"o que esse kakay fala não se escreve, o pt esta acabado; nem para se reinventar, querem enganar quem";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"777954707935461376";"Ladrão pelo Brasil";"Brasil";"o pessoal dessa usina precisa tomar cuidado essa visita do p";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"443923846";"Marcos Adriano";"Trocadero";"esse deputado representa o pensamento do partido esclareçam via br";"";"1003 Arch St, Philadelphia, PA 19107, USA";39.953835;-75.15645339999999;"39.953835,-75.15645339999999"
"ptbrasil";"785161369503035393";"Antonio Soave";"Brasil";"fechou porque essa merda só deu prejuízo até hoje, como todas que vocês cria";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"135276211";"Edson Verber";"João Pessoa, Paraíba";"é por issoqa mundiça neofascista odeia o , porq essas pessoas viviam, antes, como semiescravas";"";"João Pessoa, Paraíba, João Pessoa - State of Paraíba, Brazil";-7.119495799999999;-34.8450118;"-7.119495799999999,-34.8450118"
"ptbrasil";"828205829966983168";"Rosemary Apaixonada";"Brasília ";"meu ursão polar do nordeste";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"1191435649";"Heitor Adriano";"São José dos Campos, Brasil";"kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk";"";"São José dos Campos, Sao Jose dos Campos - State of São Paulo, Brazil";-23.223701;-45.9009074;"-23.223701,-45.9009074"
"ptbrasil";"896769605762469888";"Feipe";"Amparo, Brasil";"e mas também sabe ser corrupto";"";"Amparo - State of São Paulo, Brazil";-22.7080671;-46.77266969999999;"-22.7080671,-46.77266969999999"
"ptbrasil";"71136962";"Alberton84";"Rio Grande do SuBR, ";"última parada cadeia de curitiba";"";"Av. Araguaia, 265 - Riacho Grande, São Bernardo do Campo - SP, 09891-420, Brazil";-23.7778628;-46.530882;"-23.7778628,-46.530882"
"ptbrasil";"64615462";"MARLON ROSEGHINI";"BRASILE";"calem a boca";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"777954707935461376";"Ladrão pelo Brasil";"Brasil";"o nordeste nunca foi produtor de miseráveis, produtora de miseráveis foi a desgraçada da";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"882778188769894400";"Gabriel";"Florianópolis, Brasil";"só de vagabundo isso foi o que sua comitiva disse na sua caravana";"";"Florianópolis - State of Santa Catarina, Brazil";-27.5948698;-48.54821949999999;"-27.5948698,-48.54821949999999"
"ptbrasil";"732596878135689216";"Dartagnanf";"João Gualberto, Paranaguá";"nos últimos anos só depositaram merda";"";"João Gualberto, Paranaguá - PR, Brazil";-25.5161153;-48.5106763;"-25.5161153,-48.5106763"
"ptbrasil";"828205829966983168";"Rosemary Apaixonada";"Brasília ";"";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"828205829966983168";"Rosemary Apaixonada";"Brasília ";"";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"137153657";"Nunizinho";"Brasília, Brasil";"valeu gabriel";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"ptbrasil";"16547068";"juliopeppe";"Guarulhos, Brasil";"o problema é a desunião da esquerda neste brasil";"";"Guarulhos - State of São Paulo, Brazil";-23.4543148;-46.5336521;"-23.4543148,-46.5336521"
"ptbrasil";"107173275";"ROBERTO PESCADOR.";"XIQUE-XIQUE E PORANGATU.";"produziu uma desgraça igual vc seu desgraçado dos infernos";"";"R. Porangatu - Vila Santana, Uruaçu - GO, 76400-000, Brazil";-14.5199948;-49.1457533;"-14.5199948,-49.1457533"
"ptbrasil";"162135549";"Bia Arantes Coelho";"Belo Horizonte, MG - Brasil";"oficial oficial";"";"Belo Horizonte - State of Minas Gerais, Brazil";-19.9245018;-43.93523760000001;"-19.9245018,-43.93523760000001"
"ptbrasil";"887534879172415488";"Anderson Dy Castro";"Alto Boa Vista, Brasil";"parem de enganar as pessoas vcs já fizeram isso por anos não colou o pt é sim uma org";"";"Alto Boa Vista - State of Mato Grosso, 78665-000, Brazil";-11.7923521;-51.7255991;"-11.7923521,-51.7255991"
"ptbrasil";"60884715";"DIREITONEWS.COM";"DOURADOS, Mato Grosso do Sul ";"rovai isso renato";"";"Dourados - State of Mato Grosso do Sul, Brazil";-22.2272034;-54.82912589999999;"-22.2272034,-54.82912589999999"
"Rede45";"810569171608174592";"GERALDO MELO JUNIOR";"Bom Sucesso, Brasil";"parabéns deputado, a agropecuária tem um representante a altura de sua importância";"";"Bom Sucesso - MG, 37220-000, Brazil";-21.0350113;-44.7592921;"-21.0350113,-44.7592921"
"Rede45";"3032405187";"Antonio Carlos";"Sao Paulo, Brazil";"vossa excelência tem meu respeito agora sei que logo minha rua não ficara mais sem luz a cada chuva e raio psdb";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Rede45";"754348704451137536";"Flavio Fontanelli";"Rio de Janeiro, Brazil";"com o aécio";"";"Rio de Janeiro, State of Rio de Janeiro, Brazil";-22.9068467;-43.1728965;"-22.9068467,-43.1728965"
"Rede45";"56865449";"Chris Moraes";"Vitória, Brasil";"o tempo é o senhor da razão e agora dilma samba na cara do denunciado n vezes aécio neves o mundo dá volta";"";"Vitoria, Vitória - State of Espírito Santo, Brazil";-20.2976178;-40.2957768;"-20.2976178,-40.2957768"
"Rede45";"379405084";"Renato Sales";"Macapá ";"investigações da lava jato flagraram o presidente do psdb aécio neves pedindo propina e aí";"";"Macapá, AP, Brazil";0.0355735;-51.070535;"0.0355735,-51.070535"
"Rede45";"103356974";"Vinicius Henrique";"brazil";"com vá na segurança ãoarrisquem";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"724012157734641664";"Celui";"Brasil";"não seria melhor medidas pra caçar aécio corruptos e ladrões da casa";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"160552502";"alfredo adao";"BRASIL";"não tenho duvida, mas que sejam feitas para acabar com a corrupção, tudo que se deixa brecha";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"160552502";"alfredo adao";"BRASIL";"não é isso que estamos vendo, e sim um partido aliado aos corruptos e tentando enganar o povo igual os dema";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"2654941594";"Dani Dias";"Santo André, São Paulo";"a grande culpa do pt foi de se aliar a part como o pmdb, q armou o bote como cobra peçonhenta o próx a";"";"Santo André, State of São Paulo, Brazil";-23.6742228;-46.5436003;"-23.6742228,-46.5436003"
"Rede45";"751197850529304576";"jocacarlos";"São Mateus, Brasil";"creio que também é tão grave como um dublê de partido abriga algumas figuras nacionais que estão numa lis";"";"São Mateus - State of Espírito Santo, Brazil";-18.7190705;-39.856734;"-18.7190705,-39.856734"
"Rede45";"751197850529304576";"jocacarlos";"São Mateus, Brasil";"mesmo e a renda vindo através de propinas recebidas por alguns integrantes de um certo dublê de partido,";"";"São Mateus - State of Espírito Santo, Brazil";-18.7190705;-39.856734;"-18.7190705,-39.856734"
"Rede45";"2379879250";"Jonex Almeida";"Mesquita, Rio de Janeiro";"construção se passa pela qualidade etica do seu legislativo fora isso nao passa de bláblá para as ameb";"";"Mesquita, RJ, Brazil";-22.7819449;-43.4293183;"-22.7819449,-43.4293183"
"Rede45";"315301774";"pedrinho fonseca";"Sao Paulo, Brazil";"ata";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Rede45";"325109785";"Ana Maria Sanches";" Brasil";"nacional oficial nacional";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"968390030";"Darley Assis";"Brasília-DF";"psdb a charge tinha que ser do aecio sendo expulso do partido ;";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"Rede45";"446222055";"Sérgio Santos";"Bahia, Brasil";"então partido de cornos, vcs vão falar da inocência da dilma ou vão fazer a linha kátia";"";"State of Bahia, Brazil";-12.579738;-41.7007272;"-12.579738,-41.7007272"
"Rede45";"47281168";"jaime";"Brasil";"vagabundos se não tem renda é graças ao apoio desse partideco a temer só vivem de mentiras, por isso perd";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"40493348";"Neusa Teixeira";"Brasil - São Paulo";"frase do dia melhor definição de fundo eleitoral fundo eleitoral é um dinheiro que será roubado de vc pr";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Rede45";"4867434249";"Geziel Goes";"Belém, Brasil";"a vaidade e irresponsabilidade do presidente licenciado de vcs foram seus piores venenos";"";"Belém - State of Pará, Brazil";-1.4557794;-48.4901968;"-1.4557794,-48.4901968"
"Rede45";"878958128104124416";"♥ ♥ Patriota ♥ ♥";"Brasil";"senador aécio tem amor pela nossa bandeira paixão pelo brasil grande e respeitado politico";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"390369171";"Olhar Geográfico";"Brazil";"";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"540039632";"paulo inacio da cunh";"Itanhangá, Rio de Janeiro";"antipt o partido não fala nada do governo temer vcs deram o golpe nos trabalhadores há vale lembra que";"";"Itanhangá, Rio de Janeiro - State of Rio de Janeiro, Brazil";-22.986725;-43.30550030000001;"-22.986725,-43.30550030000001"
"Rede45";"607435856";"Hélio Azerêdo";"Brasil";"e o q vão fazer desde q vcs tem posições, provas de envolvimento em muitas falcatrua";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"390369171";"Olhar Geográfico";"Brazil";"kkkkk";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"891674648521428993";"paulorogerioat";"Crato, Brasil";"hipócritas, enlameados até o olho da goiaba";"";"Crato, CE, Brazil";-7.229957199999999;-39.4122984;"-7.229957199999999,-39.4122984"
"Rede45";"897156246582767616";"Silva";"Brasília, Brasil";"efeito sabotagem do governo dilma; efeito golpe de";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"Rede45";"2588429768";"Teka";"Brazil, IN";"";"";"Brazil, IN 47834, USA";39.523652;-87.1250154;"39.523652,-87.1250154"
