"abandoned","abandonado"
"aggressiveness","agressividade"
"aggressor","agressor"
"aggrieve","aggrieve"
"aggrieved","prejudicada"
"aghast","horrorizado"
"agitate","agite"
"agitated","agitado"
"agitation","agitação"
"agitator","agitador"
"agonies","agonias"
"agonize","agonizar"
"agonizing","agonizante"
"agonizing","agonizante"
"agonizingly","dolorosamente"
"agony","agonia"
"ail","ail"
"ail","ail"
"ailment","doença"
"aimless","sem rumo"
"airs","ares"
"airs","ares"
"alarm","alarme"
"alarm","alarme"
"alarmed","alarmado"
"alarming","alarmante"
"alarmingly","alarmante"
"alas","infelizmente"
"alienate","alienar"
"alienated","alienado"
"alienation","alienação"
"allegation","alegação"
"allegations","alegações"
"allege","alegar"
"allegations","alegações"
"allergic","alérgica"
"aloof","distante"
"altercation","altercação"
"although","embora"
"ambiguous","ambígua"
"ambiguity","ambigüidade"
"ambivalence","ambivalência"
"ambivalent","ambivalente"
"ambivalent","ambivalente"
"ambush","emboscada"
"ambush","emboscada"
"amiss","errado"
"amputate","amputar"
"anarchism","anarquismo"
"anarchist","anarquista"
"anarchistic","anarquista"
"anarchy","anarquia"
"anemic","anêmico"
"anger","raiva"
"anger","raiva"
"anger","raiva"
"angrily","com raiva"
"angriness","angriness"
"angry","zangado"
"anguish","angústia"
"anguish","angústia"
"annihilate","aniquilar"
"annihilation","aniquilação"
"animosity","animosidade"
"annoy","aborrecer"
"annoyance","aborrecimento"
"annoyed","irritado"
"annoying","irritante"
"annoying","irritante"
"annoyingly","irritantemente"
"anomalous","anômalo"
"anomaly","anomalia"
"antagonism","antagonismo"
"antagonist","antagonista"
"antagonistic","antagônico"
"antagonize","antagonizar"
"anti-","anti-"
"anti-American","anti-americano"
"anti-American","anti-americano"
"anti-Israeli","anti-israelense"
"anti-Israeli","anti-israelense"
"anti-Semites","anti-semitas"
"anti-Semites","anti-semitas"
"anti-US","anti-EUA"
"anti-US","anti-EUA"
"anti-occupation","anti-ocupação"
"anti-occupation","anti-ocupação"
"anti-proliferation","anti-proliferação"
"anti-proliferation","anti-proliferação"
"anti-social","anti-sociais"
"anti-white","anti-branco"
"anti-white","anti-branco"
"antipathy","antipatia"
"antiquated","antiquada"
"antithetical","antitético"
"antithetical","antitético"
"anxieties","ansiedades"
"anxiety","ansiedade"
"anxious","ansioso"
"anxiously","ansiosamente"
"anxiousness","ansiedade"
"apathetic","apático"
"apathetic","apático"
"apathetically","apaticamente"
"apathy","apatia"
"ape","ape"
"apocalypse","apocalipse"
"apocalyptic","apocalíptico"
"apologist","apologista"
"apologist","apologista"
"apologists","apologistas"
"apologists","apologistas"
"appal","appall"
"appall","appall"
"appall","appall"
"appall","appall"
"appalled","estarrecido"
"appalling","terrível"
"appallingly","appallingly"
"apprehension","apreensão"
"apprehensions","apreensões"
"apprehensions","apreensões"
"apprehensive","apreensivo"
"apprehensive","apreensivo"
"apprehensively","apreensiva"
"arbitrary","arbitrário"
"arcane","arcano"
"archaic","arcaico"
"arduous","árdua"
"arduously","arduously"
"argue","argumentam"
"argument","argumento"
"argument","argumento"
"argumentative","argumentativo"
"arguments","argumentos"
"arguments","argumentos"
"arrogance","arrogância"
"arrogant","arrogante"
"arrogant","arrogante"
"arrogantly","arrogantemente"
"arrogantly","arrogantemente"
"artificial","artificial"
"ashamed","vergonha"
"asinine","asinino"
"asininely","asininely"
"asinininity","asinininity"
"askance","soslaio"
"asperse","difamar"
"aspersion","aspersão"
"aspersions","aspersions"
"assail","assaltar"
"assassinate","assassinar"
"assassin","assassino"
"assault","assalto"
"assault","assalto"
"astray","extraviados"
"asunder","em pedaços"
"atrocious","atroz"
"atrocities","atrocidades"
"atrocity","atrocidade"
"atrophy","atrofia"
"attack","ataque"
"attack","ataque"
"audacious","audacioso"
"audaciously","audaciosamente"
"audaciousness","audaciousness"
"audacity","audácia"
"austere","austero"
"authoritarian","autoritário"
"autocrat","autocrata"
"autocratic","autocrático"
"autocratic","autocrático"
"autocratic","autocrático"
"avalanche","avalanche"
"avalanche","avalanche"
"avarice","avareza"
"avaricious","avarento"
"avariciously","avara"
"avenge","vingar"
"averse","avessos"
"aversion","aversão"
"avoid","evitar"
"avoidance","evitação"
"awful","terrível"
"awful","terrível"
"awfully","terrivelmente"
"awfulness","awfulness"
"awfulness","awfulness"
"awkward","desajeitado"
"awkwardness","constrangimento"
"ax","machado"
"babble","murmúrio"
"backbite","caluniar"
"backbiting","maledicência"
"backward","para trás"
"backwardness","atraso"
"bad","ruim"
"badly","mal"
"baffle","defletor"
"baffled","perplexo"
"bafflement","perplexidade"
"baffling","desconcertante"
"bait","isca"
"balk","Balk"
"banal","banal"
"banal","banal"
"banalize","banalizam"
"bane","bane"
"banish","banir"
"banish","banir"
"banishment","banimento"
"bankrupt","falência"
"bankrupt","falência"
"bar","bar"
"barbarian","bárbaro"
"barbarian","bárbaro"
"barbaric","bárbaro"
"barbarically","barbaramente"
"barbarity","barbárie"
"barbarity","barbárie"
"barbarous","bárbaro"
"barbarous","bárbaro"
"barbarously","barbaramente"
"barely","mal"
"barren","estéril"
"baseless","infundadas"
"bashful","acanhado"
"bastard","bastardo"
"bastard","bastardo"
"battered","agredidas"
"battering","espancamento"
"battering","espancamento"
"battle","batalha"
"battle-lines","linhas de batalha"
"battle-lines","linhas de batalha"
"battlefield","campo de batalha"
"battleground","campo de batalha"
"battleground","campo de batalha"
"batty","Batty"
"bearish","bearish"
"beast","besta"
"beast","besta"
"beastly","bestial"
"bedlam","Bedlam"
"bedlamite","bedlamite"
"befoul","befoul"
"beg","beg"
"beggar","mendigo"
"beggarly","beggarly"
"begging","implorando"
"begging","implorando"
"beguile","seduzir"
"belated","tardia"
"belabor","belabor"
"beleaguer","beleaguer"
"belie","desmentem"
"belittle","menosprezar"
"belittled","menosprezado"
"belittling","menosprezo"
"bellicose","belicosa"
"bellicose","belicosa"
"belligerence","beligerância"
"belligerent","beligerante"
"belligerent","beligerante"
"belligerently","beligerante"
"bemoan","lamentam"
"bemoaning","lamentando"
"bemused","confuso"
"bent","dobrado"
"berate","repreender"
"bereave","bereave"
"bereavement","luto"
"bereft","destituída"
"berserk","berserk"
"beseech","suplico"
"beset","assolada"
"besiege","sitiar"
"besmirch","manchar"
"bestial","bestial"
"betray","trair"
"betrayal","traição"
"betrayals","traições"
"betrayer","traidor"
"bewail","lamentar"
"beware","cuidado"
"bewilder","desnortear"
"bewildered","desnorteado"
"bewildering","desconcertante"
"bewildering","desconcertante"
"bewilderingly","bewilderingly"
"bewilderment","perplexidade"
"bewitch","enfeitiçar"
"bias","viés"
"bias","viés"
"bias","viés"
"biased","tendenciosa"
"biased","tendenciosa"
"biases","vieses"
"biases","vieses"
"bicker","brigam"
"bickering","insignificância"
"bid-rigging","licitações fraudulentas"
"bitch","cadela"
"bitchy","mal-intencionado"
"biting","cortante"
"bitingly","bitingly"
"bitter","amargo"
"bitterly","amargamente"
"bitterness","amargura"
"bizarre","bizarro"
"blab","tagarela"
"blabber","blabber"
"black","preto"
"blackmail","chantagem"
"blah","blah"
"blame","culpa"
"blame","culpa"
"blame","culpa"
"blameworthy","censurável"
"bland","branda"
"blandish","blandish"
"blaspheme","blasfemar"
"blasphemous","blasfemo"
"blasphemous","blasfemo"
"blasphemy","blasfêmia"
"blast","explosão"
"blasted","explodido"
"blatant","flagrante"
"blatantly","flagrantemente"
"blather","tagarelice"
"bleak","desolador"
"bleakly","bleakly"
"bleakness","bleakness"
"bleed","sangrar"
"blemish","defeito"
"blemish","defeito"
"blind","cego"
"blinding","cegando"
"blinding","cegando"
"blindingly","cegantemente"
"blindness","cegueira"
"blindside","blindside"
"blister","blister"
"blistering","formação de bolhas"
"bloated","inchado"
"block","bloco"
"block","bloco"
"blockhead","blockhead"
"blood","sangue"
"bloodshed","derramamento de sangue"
"bloodthirsty","sanguinário"
"bloody","sangrento"
"blow","golpe"
"blow","golpe"
"blunder","mancada"
"blunder","mancada"
"blundering","blundering"
"blunders","erros"
"blunt","sem corte"
"blur","borrão"
"blurt","deixar escapar"
"boast","ostentação"
"boastful","prepotente"
"boggle","boggle"
"bogus","falso"
"boil","fervura"
"boiling","ebulição"
"boisterous","turbulento"
"bombard","bombardeiam"
"bomb","bomba"
"bombardment","bombardeamento"
"bombardment","bombardeamento"
"bombastic","bombástico"
"bondage","bondage"
"bonkers","Bonkers"
"bonkers","Bonkers"
"bore","bore"
"boredom","tédio"
"boring","chato"
"boring","chato"
"botch","botch"
"bother","incomodar"
"bother","incomodar"
"bothersome","incómodos"
"bowdlerize","bowdlerize"
"boycott","boicote"
"boycott","boicote"
"braggart","braggart"
"braggart","braggart"
"bragger","bragger"
"bragger","bragger"
"brainwash","lavagem cerebral"
"brash","impetuoso"
"brashly","impetuosa"
"brashness","brashness"
"brat","pirralho"
"bravado","bravata"
"brazen","bronze"
"brazenly","descaradamente"
"brazenly","descaradamente"
"brazenness","brazenness"
"brazenness","brazenness"
"breach","violar"
"breach","violar"
"break","pausa"
"break-point","break point-"
"break-point","break point-"
"breakdown","colapso"
"brimstone","enxofre"
"brimstone","enxofre"
"bristle","cerdas"
"brittle","quebradiço"
"broke","quebrou"
"broken-hearted","quebrado-hearted"
"brood","ninhada"
"browbeat","intimidar"
"bruise","contusão"
"brusque","brusque"
"brutal","brutal"
"brutalising","brutalização"
"brutalising","brutalização"
"brutalities","brutalidades"
"brutalities","brutalidades"
"brutality","brutalidade"
"brutalize","brutalizar"
"brutalizing","brutalização"
"brutally","brutalmente"
"brute","brute"
"brutish","brutal"
"bug","bug"
"buckle","fivela"
"bulky","volumosos"
"bullies","valentões"
"bullies","valentões"
"bully","valentão"
"bully","valentão"
"bullyingly","bullyingly"
"bum","bum"
"bumpy","acidentado"
"bungle","Bungle"
"bungler","trapalhão"
"bunk","beliche"
"burden","fardo"
"burden","fardo"
"burdensome","oneroso"
"burdensome","oneroso"
"burdensomely","onerosamente"
"burn","queimar"
"busy","ocupado"
"busybody","intrometido"
"butcher","açougueiro"
"butchery","açougue"
"byzantine","bizantino"
"cackle","cacarejar"
"cajole","cajole"
"calamities","calamidades"
"calamitous","calamitosa"
"calamitously","calamitosamente"
"calamity","calamidade"
"calamity","calamidade"
"callous","insensível"
"calumniate","caluniar"
"calumniation","calúnia"
"calumnies","calúnias"
"calumnious","calunioso"
"calumniously","calumniously"
"calumny","calúnia"
"cancer","câncer"
"cancerous","canceroso"
"cannibal","canibal"
"cannibalize","canibalizar"
"capitulate","capitular"
"capricious","caprichosa"
"capriciously","caprichosamente"
"capriciousness","caprichos"
"capsize","emborcar"
"captive","cativo"
"careless","descuidada"
"carelessness","descuido"
"caricature","caricatura"
"carnage","carnage"
"carp","carpa"
"cartoon","desenhos animados"
"cartoon","desenhos animados"
"cartoonish","caricatural"
"cash-strapped","-dinheiro amarrado"
"castigate","castigar"
"casualty","acidente"
"cataclysm","cataclismo"
"cataclysmal","cataclysmal"
"cataclysmic","cataclísmico"
"cataclysmically","cataclismicamente"
"catastrophe","catástrofe"
"catastrophe","catástrofe"
"catastrophes","catástrofes"
"catastrophic","catastrófica"
"catastrophic","catastrófica"
"catastrophically","catastroficamente"
"caustic","cáustica"
"caustically","cáustico"
"cautionary","advertência"
"cautious","cauteloso"
"cave","caverna"
"censure","censura"
"censure","censura"
"censure","censura"
"chafe","chafe"
"chaff","joio"
"chagrin","desgosto"
"chagrin","desgosto"
"challenge","desafio"
"challenge","desafio"
"challenging","desafiante"
"chaos","caos"
"chaotic","caótico"
"charisma","carisma"
"chasten","castigo"
"chastise","castigá"
"chastisement","castigo"
"chatter","tagarelice"
"chatterbox","tagarela"
"cheapen","baratear"
"cheap","barato"
"cheat","trapacear"
"cheat","trapacear"
"cheater","trapaceiro"
"cheerless","triste"
"chide","repreender"
"childish","infantil"
"chill","frio"
"chilly","frio"
"chit","chit"
"choppy","agitado"
"choke","choke"
"chore","chore"
"chronic","crônica"
"clamor","clamor"
"clamorous","clamorosa"
"clash","clash"
"clash","clash"
"cliche","cliche"
"cliched","clichê"
"clique","camarilha"
"clog","tamanco"
"close","perto"
"cloud","nuvem"
"clumsy","desajeitado"
"coarse","grossa"
"cocky","arrogante"
"coerce","coagir"
"coercion","coerção"
"coercive","coercitivo"
"cold","frio"
"coldly","friamente"
"collapse","colapso"
"collapse","colapso"
"collide","colidem"
"collude","conspirar"
"collusion","conluio"
"combative","combativo"
"comedy","comédia"
"comedy","comédia"
"comical","cômico"
"commiserate","solidarizar"
"commonplace","comum"
"commotion","comoção"
"commotion","comoção"
"compel","compelir"
"complacent","complacente"
"complacent","complacente"
"complain","reclamar"
"complaining","queixando"
"complaining","queixando"
"complaint","queixa"
"complaints","reclamações"
"complaints","reclamações"
"complex","complexo"
"complicate","complicar"
"complicated","complicado"
"complication","complicação"
"complicit","cúmplices"
"compulsion","compulsão"
"compulsive","compulsivo"
"compulsory","obrigatória"
"concede","conceder"
"conceit","presunção"
"conceited","vaidoso"
"concern","preocupação"
"concern","preocupação"
"concern","preocupação"
"concerned","preocupado"
"concerns","preocupações"
"concerns","preocupações"
"concession","concessão"
"concession","concessão"
"concessions","concessões"
"concessions","concessões"
"condescend","condescender"
"condescending","condescendente"
"condescendingly","condescendingly"
"condescension","condescendência"
"condemn","condenamos"
"condemn","condenamos"
"condemnable","condenável"
"condemnation","condenação"
"condolence","condolências"
"condolences","condolências"
"condolences","condolências"
"confess","confesso"
"confession","confissão"
"confessions","confissões"
"confessions","confissões"
"conflict","conflito"
"conflict","conflito"
"confound","confundir"
"confound","confundir"
"confounded","confundidos"
"confounding","confusão"
"confront","confrontar"
"confrontation","confronto"
"confrontation","confronto"
"confrontational","de confronto"
"confuse","confundir"
"confused","confuso"
"confusing","confuso"
"confusing","confuso"
"confusion","confusão"
"confusion","confusão"
"congested","congestionado"
"congestion","congestionamento"
"conspicuous","conspícuo"
"conspicuous","conspícuo"
"conspicuously","conspicuamente"
"conspiracies","conspirações"
"conspiracies","conspirações"
"conspiracy","conspiração"
"conspiracy","conspiração"
"conspirator","conspirador"
"conspirator","conspirador"
"conspiratorial","conspiratório"
"conspire","conspiram"
"consternation","consternação"
"constrain","constrangem"
"constraint","restrição"
"consume","consumir"
"contagious","contagioso"
"contaminate","contaminar"
"contamination","contaminação"
"contempt","desprezo"
"contemptible","desprezível"
"contemptuous","desdenhoso"
"contemptuously","desdenhosamente"
"contend","contender"
"contention","contenção"
"contentious","contenciosa"
"contentious","contenciosa"
"contort","contorcer"
"contortions","contorções"
"contortions","contorções"
"contradict","contradizem"
"contradiction","contradição"
"contradictory","contraditória"
"contrariness","contrariness"
"contrary","contrário"
"contravene","infringir"
"contrive","inventar"
"contrived","artificial"
"controversial","controversa"
"controversial","controversa"
"controversy","controvérsia"
"controversy","controvérsia"
"convoluted","complicado"
"coping","enfrentamento"
"coping","enfrentamento"
"corrode","corroer"
"corrosion","corrosão"
"corrosive","corrosivo"
"corrupt","corrupto"
"corrupt","corrupto"
"corruption","corrupção"
"costly","caro"
"counterproductive","contraproducente"
"coupists","golpistas"
"coupists","golpistas"
"covetous","cobiçoso"
"covetous","cobiçoso"
"cow","vaca"
"coward","covarde"
"cowardly","covarde"
"crackdown","repressão"
"crackdown","repressão"
"crafty","astuto"
"cramped","apertado"
"cranky","irritadiço"
"crass","crasso"
"craven","Craven"
"cravenly","covardemente"
"craze","mania"
"crazily","loucamente"
"craziness","loucura"
"crazy","louco"
"credulous","crédulo"
"crime","crime"
"criminal","criminoso"
"cringe","encolher"
"cripple","aleijar"
"crippling","incapacitante"
"crisis","crise"
"crisis","crise"
"critic","crítico"
"critical","crítica"
"criticism","críticas"
"criticism","críticas"
"criticisms","críticas"
"criticisms","críticas"
"criticize","criticar"
"critics","críticos"
"critics","críticos"
"crook","bandido"
"crooked","torto"
"cross","atravessar"
"crowded","lotado"
"crude","crude"
"cruel","cruel"
"cruelties","crueldades"
"cruelty","crueldade"
"crumble","desmoronar"
"crumple","deformação"
"crush","crush"
"crushing","esmagando"
"cry","grito"
"culpable","culposa"
"cuplrit","cuplrit"
"cumbersome","pesado"
"curse","maldição"
"curse","maldição"
"cursed","amaldiçoou"
"cursed","amaldiçoou"
"curses","maldições"
"cursory","superficial"
"curt","curt"
"cuss","cuss"
"cut","corte"
"cutthroat","Degolador"
"cynical","cínico"
"cynicism","cinismo"
"damage","danos"
"damage","danos"
"damaging","prejudicial"
"damn","maldito"
"damn","maldito"
"damn","maldito"
"damnable","condenável"
"damnably","damnably"
"damnation","danação"
"damned","maldito"
"damning","condenatório"
"danger","perigo"
"danger","perigo"
"dangerous","perigoso"
"dangerousness","periculosidade"
"dangerousness","periculosidade"
"dangle","oscilar"
"dark","escuro"
"darken","escurecer"
"darkness","escuridão"
"darn","danado"
"dash","traço"
"dastard","dastard"
"dastardly","covarde"
"daunt","daunt"
"daunting","assustadora"
"dauntingly","assustadoramente"
"dawdle","dawdle"
"daze","torpor"
"dazed","aturdido"
"dead","mortos"
"deadbeat","caloteiro"
"deadlock","impasse"
"deadlock","impasse"
"deadly","mortal"
"deadweight","deadweight"
"deaf","surdo"
"dearth","escassez"
"death","morte"
"debacle","debacle"
"debase","rebaixam"
"debasement","aviltamento"
"debaser","debaser"
"debatable","discutível"
"debate","debate"
"debauch","corromper"
"debaucher","devasso"
"debauchery","deboche"
"debilitate","debilitar"
"debilitating","debilitante"
"debility","debilidade"
"decadence","decadência"
"decadent","decadente"
"decay","decaimento"
"decay","decaimento"
"decayed","deteriorado"
"deceit","engano"
"deceitful","enganosa"
"deceitfully","enganosamente"
"deceitfulness","sedução"
"deceiving","enganando"
"deceive","enganar"
"deceiver","enganador"
"deceivers","enganadores"
"deception","engano"
"deception","engano"
"deceptive","enganosa"
"deceptive","enganosa"
"deceptively","enganosamente"
"declaim","declamar"
"decline","declínio"
"decline","declínio"
"declining","declinando"
"decrease","diminuir"
"decrease","diminuir"
"decreasing","diminuindo"
"decrement","decremento"
"decrepit","decrépito"
"decrepitude","decrepitude"
"decry","condenam"
"deep","profunda"
"deepening","aprofundamento"
"deepening","aprofundamento"
"defamation","difamação"
"defamations","difamações"
"defamatory","difamatório"
"defame","difamar"
"defeat","derrota"
"defeat","derrota"
"defect","defeito"
"defective","defeituoso"
"defensive","defensiva"
"defiance","defiance"
"defiance","defiance"
"defiant","desafiadora"
"defiantly","desafiadoramente"
"deficiency","deficiência"
"deficient","deficiente"
"defile","contaminam"
"defiler","profanador"
"deform","deformar"
"deformed","deformado"
"defrauding","defraudação"
"defrauding","defraudação"
"defunct","defunto"
"defy","desafiar"
"degenerate","degenerado"
"degenerate","degenerado"
"degenerately","degenerately"
"degeneration","degeneração"
"degradation","degradação"
"degrade","degradar"
"degrading","degradante"
"degradingly","intuito de degradar"
"dehumanization","desumanização"
"dehumanize","desumanizar"
"deign","dignou"
"deject","deject"
"dejected","abatido"
"dejectedly","dejectedly"
"dejection","abatimento"
"delinquency","delinquência"
"delinquent","delinquente"
"delirious","delirante"
"delirium","delirium"
"delude","iludir"
"deluded","iludida"
"deluge","dilúvio"
"delusion","ilusão"
"delusion","ilusão"
"delusional","delirante"
"delusional","delirante"
"delusions","delírios"
"delusions","delírios"
"demean","aviltar"
"demeaning","humilhante"
"demise","morte"
"demolish","demolir"
"demolisher","demolidor"
"demon","demon"
"demonic","demoníaca"
"demonize","demonizar"
"demonize","demonizar"
"demoralize","desmoralizar"
"demoralizing","desmoralizante"
"demoralizingly","demoralizingly"
"denial","negação"
"denigrate","denegrir"
"deny","negar"
"denounce","denunciar"
"denunciate","denunciar"
"denunciation","denúncia"
"denunciations","denúncias"
"deplete","esgotar"
"deplorable","deplorável"
"deplorable","deplorável"
"deplorably","deploravelmente"
"deplore","deploram"
"deploring","deplorando"
"deploringly","deploringly"
"deprave","depravar"
"depraved","depravada"
"depravedly","depravedly"
"deprecate","deprecate"
"depress","deprimir"
"depressed","deprimido"
"depressing","deprimente"
"depressing","deprimente"
"depressingly","tristemente"
"depression","depressão"
"depression","depressão"
"deprive","privar"
"deprived","privou"
"deride","ridicularizar"
"derision","escárnio"
"derisive","derisive"
"derisively","derisively"
"derisiveness","derisiveness"
"derogatory","depreciativo"
"desecrate","profanar"
"desert","deserto"
"desertion","deserção"
"desiccate","desidratar"
"desiccated","dessecada"
"desolate","desolada"
"desolately","desoladamente"
"desolation","desolação"
"despair","desespero"
"despair","desespero"
"despairing","desesperando"
"despairingly","despairingly"
"desperate","desesperada"
"desperately","desesperadamente"
"desperation","desespero"
"despicable","desprezível"
"despicably","vilmente"
"despise","desprezar"
"despised","desprezada"
"despised","desprezada"
"despite","apesar"
"despoil","despojar"
"despoiler","despoiler"
"despondence","despondence"
"despondency","desânimo"
"despondent","desanimado"
"despondently","despondently"
"despot","déspota"
"despotic","despótico"
"despotism","despotismo"
"despotism","despotismo"
"destabilisation","desestabilização"
"destabilisation","desestabilização"
"destitute","destituídos"
"destitution","destituição"
"destroy","destruir"
"destroyer","destroyer"
"destroyer","destroyer"
"destruction","destruição"
"destructive","destrutivo"
"desultory","desultory"
"deter","dissuadir"
"deteriorate","deteriorar-se"
"deteriorating","deteriorando"
"deteriorating","deteriorando"
"deterioration","deterioração"
"deterrent","impedimento"
"detest","detesto"
"detestable","detestável"
"detestably","detestável"
"detract","desvirtuar"
"detraction","detração"
"detriment","detrimento"
"detrimental","prejudicial"
"devastate","devastar"
"devastated","devastada"
"devastating","devastador"
"devastatingly","devastadoramente"
"devastation","devastação"
"deviate","desviam"
"deviate","desviam"
"deviate","desviam"
"deviation","desvio"
"devil","diabo"
"devilish","diabólico"
"devilishly","diabolicamente"
"devilment","devilment"
"devilry","diabrura"
"devious","tortuoso"
"deviously","deviously"
"deviousness","deviousness"
"devoid","desprovida"
"diabolic","diabólica"
"diabolical","diabólica"
"diabolically","diabolicamente"
"diametrically","diametralmente"
"diatribe","diatribe"
"diatribes","diatribes"
"dictator","ditador"
"dictatorial","ditatorial"
"differ","diferir"
"difficult","difícil"
"difficulties","dificuldades"
"difficulties","dificuldades"
"difficulty","dificuldade"
"difficulty","dificuldade"
"diffidence","desconfiança"
"diffidence","desconfiança"
"dig","dig"
"digress","divagar"
"dilapidated","dilapidado"
"dilemma","dilema"
"dilemma","dilema"
"dilly-dally","vadiar"
"dim","dim"
"dim","dim"
"diminish","diminuir"
"diminishing","diminuição"
"din","din"
"dinky","dinky"
"dire","dire"
"direly","direly"
"direness","direness"
"dirt","sujeira"
"dirty","sujo"
"dirty","sujo"
"disable","desativar"
"disabled","desativado"
"disaccord","desacordo"
"disadvantage","desvantagem"
"disadvantaged","desfavorecidos"
"disadvantageous","desvantajosa"
"disadvantageous","desvantajosa"
"disaffect","disaffect"
"disaffected","descontentes"
"disaffirm","disaffirm"
"disagree","discordam"
"disagreeable","desagradável"
"disagreeably","desagradavelmente"
"disagreement","desacordo"
"disagreement","desacordo"
"disallow","desautorizar"
"disappoint","decepciona"
"disappointed","desapontados"
"disappointing","decepcionante"
"disappointingly","lamentavelmente"
"disappointment","decepção"
"disappointment","decepção"
"disapprobation","desaprovação"
"disapproval","desaprovação"
"disapproval","desaprovação"
"disapprove","desaprovar"
"disapproving","desaprovação"
"disarm","desarmar"
"disarray","desarranjo"
"disarray","desarranjo"
"disaster","desastre"
"disastrous","desastroso"
"disastrously","desastrosamente"
"disavow","repudiar"
"disavowal","disavowal"
"disbelief","descrença"
"disbelieve","descrer"
"disbeliever","descrente"
"disclaim","renunciam"
"discombobulate","discombobulate"
"discomfit","discomfit"
"discomfititure","discomfititure"
"discomfort","desconforto"
"discompose","discompose"
"disconcert","desconcertar"
"disconcerted","desconcertado"
"disconcerting","desconcertante"
"disconcertingly","desconcertantemente"
"disconsolate","desconsolado"
"disconsolately","desconsoladamente"
"disconsolation","desconsolo"
"discontent","descontentamento"
"discontent","descontentamento"
"discontented","descontentes"
"discontentedly","discontentedly"
"discontinuity","descontinuidade"
"discontinuity","descontinuidade"
"discord","discórdia"
"discordance","discordância"
"discordant","discordante"
"discountenance","discountenance"
"discourage","desencorajar"
"discouragement","desânimo"
"discouraging","desanimador"
"discouragingly","desencorajadoramente"
"discourteous","descortês"
"discourteously","discourteously"
"discredit","desacreditar"
"discrepant","discrepantes"
"discriminate","discriminar"
"discrimination","discriminação"
"discrimination","discriminação"
"discriminatory","discriminatório"
"disdain","desdém"
"disdain","desdém"
"disdainful","desdenhoso"
"disdainfully","desdenhosamente"
"disease","doença"
"diseased","doente"
"disfavor","desfavorecem"
"disgrace","desgraça"
"disgrace","desgraça"
"disgraced","desonrado"
"disgraceful","vergonhoso"
"disgracefully","desgraçadamente"
"disgruntle","disgruntle"
"disgruntled","descontentes"
"disgust","nojo"
"disgust","nojo"
"disgusted","enojado"
"disgustedly","desgostoso"
"disgustful","disgustful"
"disgustfully","disgustfully"
"disgusting","nojento"
"disgustingly","repugnantemente"
"dishearten","dishearten"
"disheartening","desanimador"
"dishearteningly","dishearteningly"
"dishonest","desonesto"
"dishonest","desonesto"
"dishonestly","desonestamente"
"dishonesty","desonestidade"
"dishonor","desonra"
"dishonor","desonra"
"dishonorable","desonroso"
"dishonorablely","dishonorablely"
"disillusion","desilusão"
"disillusion","desilusão"
"disillusioned","desiludidos"
"disinclination","disinclination"
"disinclined","inclinado"
"disingenuous","disingenuous"
"disingenuously","disingenuously"
"disintegrate","desintegrar-se"
"disinterested","desinteressado"
"disintegration","desintegração"
"disinterest","desinteresse"
"disinterested","desinteressado"
"dislike","antipatia"
"dislocated","deslocada"
"disloyal","desleal"
"disloyal","desleal"
"disloyalty","deslealdade"
"dismal","lúgubre"
"dismally","dismally"
"dismalness","dismalness"
"dismay","consternação"
"dismay","consternação"
